,PE Ratio (TTM),Cluster,Stock Ticker
0,12.89,0,AFL
1,13.12,0,ALB
2,13.6,0,MO
3,8.45,0,AAL
4,10.63,0,AMP
5,9.02,0,AIV
6,11.43,0,BAC
7,13.46,0,BBT
8,12.92,0,BBY
9,11.46,0,HRB
10,10.59,0,BWA
11,9.36,0,COG
12,7.89,0,COF
13,11.13,0,CAH
14,9.77,0,CCL
15,12.3,0,CAT
16,4.47,0,CBS
17,6.92,0,XEC
18,9.54,0,C
19,9.41,0,CFG
20,8.3,0,CMA
21,9.03,0,COP
22,10.46,0,CMI
23,12.77,0,DHI
24,7.72,0,DAL
25,2.36,0,DVN
26,9.43,0,DFS
27,6.54,0,DXC
28,9.91,0,ETFC
29,11.33,0,EMN
30,11.0,0,EOG
31,9.56,0,FITB
32,9.8,0,FL
33,9.8,0,MRO
34,9.8,0,FL
35,9.8,0,MRO
36,9.39,0,FTV
37,10.11,0,BEN
38,7.07,0,GPS
39,5.72,0,GM
40,9.35,0,GS
41,7.86,0,GT
42,7.86,0,STX
43,7.86,0,GT
44,7.86,0,STX
45,12.93,0,HAL
46,10.1,0,HBI
47,13.47,0,HIG
48,11.91,0,HCA
49,11.34,0,HST
50,6.27,0,HPQ
51,11.4,0,HBAN
52,12.11,0,INTC
53,10.77,0,IP
54,12.54,0,IPG
55,11.16,0,IVZ
56,6.61,0,JCI
57,12.2,0,JPM
58,11.27,0,KEY
59,11.31,0,KSS
60,12.01,0,KR
61,8.0,0,LB
62,10.07,0,LEN
63,13.62,0,LLY
64,8.58,0,LNC
65,9.24,0,LYB
66,4.69,0,M
67,7.66,0,MET
68,9.62,0,MS
69,6.45,0,NAVI
70,11.78,0,JWN
71,7.29,0,NUE
72,8.06,0,OXY
73,12.67,0,OMC
74,10.75,0,PCAR
75,12.72,0,PBCT
76,9.34,0,PSX
77,13.04,0,PNC
78,13.36,0,PPL
79,10.68,0,PFG
80,10.68,0,WBA
81,10.68,0,PFG
82,10.68,0,WBA
83,13.11,0,PGR
84,9.23,0,PRU
85,11.6,0,PHM
86,10.04,0,PVH
87,9.95,0,RF
88,12.73,0,RCL
89,12.36,0,LUV
90,12.9,0,STT
91,12.61,0,STI
92,6.17,0,SYF
93,11.87,0,TPR
94,10.28,0,TEL
95,12.88,0,TXT
96,11.89,0,BK
97,13.55,0,TSN
98,12.91,0,USB
99,11.83,0,UNM
100,5.4,0,VIAB
101,4.22,0,VNO
102,10.86,0,WFC
103,8.89,0,WU
104,11.54,0,WRK
105,13.59,0,XRX
106,10.99,0,ZION
