Stock_Ticker,Previous_Close,Open,Market_Cap,Beta_3Y_Monthly,PE Ratio_TTM,EPS_TTM,one_y_Target_Est
MMM,203.63,202.55,121.689,1.08,30.36,6.75,213.0
ABT,63.27,63.28,110.93299999999999,1.67,235.22,0.26899999999999996,68.56
ABBV,93.12,93.95,142.231,1.67,23.62,3.98,112.38
ATVI,75.94,76.04,58.361999999999995,0.79,212.97,0.36,75.88
AMD,15.25,15.21,15.175,3.36,391.25,0.04,14.31
A,65.65,65.69,21.018,1.45,71.95,0.91,78.07
ALXN,118.33,118.12,26.136999999999997,1.06,59.63,1.97,158.79
MO,57.79,57.38,107.226,0.48,10.11,5.6,69.31
AAL,43.11,43.25,20.795,1.31,11.39,3.9,59.71
AXP,99.91,99.91,85.959,0.94,29.03,3.44,109.24
ABC,85.67,85.93,19.024,1.23,19.58,4.42,102.87
AMGN,191.4,191.62,127.736,1.73,63.25,3.05,196.1
AAPL,192.28,192.42,937.317,1.11,18.44,10.34,198.48
T,34.35,33.0,197.863,0.39,6.5,4.96,37.82
ADP,135.35,134.9,59.316,0.85,34.79,3.87,133.08
BAC,30.06,30.17,303.168,1.59,17.34,1.72,34.76
BBY,73.26,73.21,20.485,0.12,21.58,3.4,75.8
BIIB,372.84,374.1,80.991,1.21,27.44,13.99,379.12
HRB,29.6,23.82,5.082,-0.2,20.12,1.21,28.57
BMY,53.94,54.65,90.12899999999999,1.06,98.29,0.56,57.32
AVGO,261.43,261.76,108.196,0.63,14.36,18.35,309.92
CHRW,85.62,85.75,11.845,0.44,22.87,3.72,92.06
CA,44.05,44.06,18.358,0.59,38.85,1.13,41.01
CPB,34.05,34.18,10.422,0.07,9.99,3.471,35.43
COF,88.05,87.85,42.216,1.34,14.07,6.34,113.86
CAT,155.32,155.19,93.459,1.49,124.06,1.26,172.48
CBS,51.13,51.07,19.805999999999997,1.32,59.28,0.8809999999999999,66.04
CELG,79.06,78.87,57.044,1.31,21.62,3.64,112.98
CERN,64.86,64.75,21.480999999999998,1.1,26.1,2.5,67.79
CHTR,291.86,292.39,82.35600000000001,1.31,8.53,35.07,376.28
CVX,126.44,126.77,243.093,1.17,26.23,4.85,145.13
CMG,453.38,452.82,12.895999999999999,0.45,75.2,6.17,383.38
CHD,55.31,55.14,13.547,0.08,18.29,3.03,52.28
CINF,84.72,85.03,13.757,0.49,48.29,1.75,78.29
CFG,42.34,42.28,20.729,1.47,13.16,3.25,49.11
KO,43.95,43.95,188.168,0.56,131.61,0.34,49.63
CMCSA,32.38,31.03,148.725,1.27,6.6,4.9,44.38
CMA,69.63,71.98,11.172,1.78,11.63,5.94,96.3
CVS,70.09,69.28,68.868,0.85,10.39,6.52,86.8
DHI,43.08,43.06,16.168,0.92,16.0,2.68,55.45
DAL,52.37,52.41,36.789,0.97,10.63,4.95,73.0
DVN,26.39,26.71,12.707,2.52,6.62,4.1,37.81
DLR,122.03,122.18,26.249000000000002,0.59,120.99,1.01,128.72
DISH,31.12,31.18,14.956,0.97,7.86,4.07,57.4
D,66.31,66.49,43.188,0.29,14.8,4.471,72.5
DOV,90.96,91.05,13.071,1.68,24.03,3.75,93.0
DPS,120.52,120.51,21.713,0.86,20.45,5.89,125.29
DUK,75.74,75.74,53.143,0.11,17.96,4.22,81.87
DXC,88.3,88.74,24.930999999999997,0.99,13.89,6.39,103.44
ETFC,53.76,55.04,14.481,1.14,20.0,2.79,68.57
EIX,61.0,54.83,17.45,-0.07,42.07,1.27,72.38
EMR,67.52,69.38,43.157,1.37,19.92,3.46,79.05
EXR,100.92,101.14,13.548,0.29,31.05,3.27,99.55
XOM,81.76,82.58,348.19,0.82,17.25,4.77,89.03
FFIV,167.29,169.52,10.328,1.09,23.27,7.32,176.5
FAST,57.52,57.73,16.586,0.97,26.88,2.15,56.91
FDX,264.56,263.09,70.308,1.5,16.05,16.39,288.56
FISV,78.92,78.83,32.167,0.79,23.18,3.43,79.4
FLIR,46.91,46.58,6.522,1.32,49.31,0.96,56.63
FLR,48.84,49.28,6.872999999999999,1.37,60.96,0.8,54.57
F,12.11,12.1,47.898999999999994,0.85,6.23,1.93,12.33
FCX,15.99,16.0,23.311,2.53,10.24,1.571,19.31
GRMN,61.85,61.81,11.728,0.94,16.9,3.68,60.33
GD,202.58,202.68,60.381,0.82,21.26,9.56,247.53
GIS,44.31,44.31,26.518,0.76,11.96,3.74,48.28
GPC,100.82,101.18,14.872,1.29,22.23,4.56,98.57
GS,232.63,233.65,88.802,1.3,22.22,10.58,276.05
HAS,90.33,90.37,11.311,0.57,29.02,3.12,98.64
HP,64.6,63.98,6.928999999999999,1.37,15.83,4.021,68.0
HLT,82.03,81.85,24.583000000000002,1.49,21.25,3.85,92.33
HD,200.31,200.26,230.097,1.07,27.36,7.29,211.13
HRL,35.86,35.68,19.333,-0.04,21.59,1.69,35.58
HPQ,23.71,23.68,38.926,1.85,10.64,2.27,25.65
HII,250.91,250.66,10.702,0.75,18.3,13.5,262.79
ICE,72.36,72.17,41.858000000000004,0.4,17.08,4.23,81.8
IBM,146.35,146.65,133.289,1.03,23.82,6.09,168.8
IPG,22.31,22.3,8.559,0.61,15.26,1.46,25.77
JBHT,128.68,128.58,14.355,1.16,20.64,6.34,131.0
JNJ,122.54,123.15,328.912,0.56,271.31,0.45,145.1
JPM,110.19,110.46,374.37199999999996,1.12,17.43,6.31,122.07
JNPR,27.92,27.92,9.773,1.28,45.0,0.622,26.33
K,66.6,66.68,23.26,0.31,16.19,4.14,69.3
KMB,118.26,118.05,41.567,0.59,24.36,4.91,105.39
KLAC,103.8,103.86,15.809000000000001,1.44,22.57,4.5,133.36
KSS,75.72,74.5,12.245,1.11,14.31,5.12,75.8
LB,36.51,36.45,9.977,0.23,10.52,3.42,36.61
LEG,43.56,43.86,5.797000000000001,1.1,19.67,2.26,43.17
LEN,54.63,54.89,17.519000000000002,1.27,14.61,3.72,70.94
LLY,85.72,85.67,87.544,0.25,80.16,1.07,90.78
M,37.99,38.3,11.507,0.5,7.45,5.04,34.31
MRO,15.27,15.27,12.577,2.13,19.01,0.8,20.95
MPC,79.11,77.9,35.565,1.47,11.49,6.7,90.38
MAR,138.38,138.04,49.378,1.3,38.71,3.61,148.95
MLM,188.72,187.59,11.850999999999999,1.15,16.55,11.42,216.0
MA,199.31,198.55,208.303,1.0,49.21,4.05,208.17
MKC,117.92,117.86,15.557,0.31,18.78,6.31,111.33
MCD,166.73,166.99,130.795,0.73,26.15,6.37,186.56
MCK,144.03,143.93,30.086,1.48,6.41,22.74,175.13
MGM,31.79,32.0,17.561,1.57,9.4,3.36,38.65
KORS,66.82,66.8,9.857999999999999,-0.39,17.24,3.82,72.56
MU,61.39,61.84,70.223,1.55,7.31,8.29,76.79
MSFT,101.31,101.72,774.8510000000001,1.28,68.19,1.48,111.06
MHK,213.86,215.0,16.041,1.34,4.31,49.9,276.65
MDLZ,39.56,39.5,58.383,0.62,20.72,1.91,48.68
MNST,55.48,55.67,31.572,0.94,39.51,1.42,60.41
MS,51.91,52.2,91.87299999999999,1.51,16.9,3.07,61.45
MYL,39.51,39.7,20.102999999999998,1.32,28.8,1.35,49.86
NAVI,8.85,8.92,2.273,2.0,9.85,0.89,14.66
NWL,20.89,20.94,10.35,0.57,5.02,4.248,27.83
NFX,17.8,18.0,3.577,1.84,6.92,2.61,27.02
NEE,169.01,168.99,79.465,0.26,9.72,17.34,171.21
NLSN,26.38,27.3,9.58,0.74,25.93,1.04,27.53
NKE,74.11,74.6,120.398,0.58,32.32,2.31,71.6
NBL,29.52,29.58,14.575,1.19,16.58,1.83,43.19
JWN,51.49,51.37,8.347999999999999,0.61,19.25,2.59,50.93
NOC,322.56,322.56,56.068000000000005,0.79,26.82,11.99,367.5
NCLH,49.27,49.04,10.797,2.3,13.46,3.62,65.31
NVDA,257.62,259.0,160.764,1.55,44.02,6.02,275.77
ORLY,283.13,282.62,23.293000000000003,0.85,21.13,13.46,291.75
OKE,71.28,70.31,29.16,1.12,23.38,3.02,74.55
ORCL,48.18,48.15,196.951,1.1,56.43,0.855,55.73
PDCO,23.28,23.0,2.276,1.34,9.52,2.59,24.04
PAYX,69.98,69.92,25.019000000000002,0.92,30.04,2.32,67.67
PYPL,85.02,85.5,101.249,1.32,54.31,1.57,87.05
PBCT,18.46,18.52,6.313,0.97,17.62,1.05,19.83
PEP,102.49,102.61,146.365,0.64,30.35,3.4,115.91
PRGO,75.11,74.01,10.296,0.8,88.52,0.84,90.25
PFE,36.16,36.19,212.69,0.93,10.1,3.6,39.6
PCG,40.53,40.44,22.165,-0.04,14.59,2.94,47.79
PM,80.32,80.67,124.51299999999999,0.73,20.77,3.86,100.56
PSX,111.45,113.41,52.183,0.82,11.38,9.85,123.08
PNC,143.15,143.5,67.002,0.98,13.18,10.83,158.68
RL,138.94,138.94,11.343,0.56,70.6,1.97,126.77
PPG,104.3,104.65,26.284000000000002,1.49,16.76,6.29,121.64
PPL,26.14,26.2,18.259,0.5,15.33,1.7,31.96
PG,77.24,77.4,192.291,0.39,20.31,3.77,81.55
PLD,67.12,67.13,44.371,0.97,27.48,2.45,71.47
PRU,98.1,98.56,41.534,1.52,5.52,17.93,117.94
PSA,209.84,209.73,36.765,0.31,28.38,7.42,199.54
PHM,30.12,30.12,8.7,0.73,21.12,1.44,35.82
PVH,162.3,162.44,12.352,0.63,23.43,6.84,173.19
DGX,109.72,109.6,15.213,1.26,19.96,5.61,113.8
RTN,213.94,213.42,60.687,0.64,30.41,6.95,239.89
O,53.27,53.31,15.165999999999999,0.26,48.38,1.1,56.1
REGN,294.61,294.12,31.651999999999997,1.57,28.41,10.34,374.16
RSG,82.67,82.45,27.039,0.56,26.59,3.16,85.5
ROK,156.2,157.25,18.980999999999998,1.6,20.43,7.85,171.22
COL,141.63,141.7,23.182,0.87,23.21,6.08,130.0
ROST,84.69,84.69,31.994,0.77,23.8,3.55,88.44
RCL,106.62,106.59,22.631999999999998,1.4,14.19,7.53,144.95
SPGI,213.95,212.88,53.155,1.12,33.18,6.37,222.46
CRM,136.26,136.37,101.704,1.21,215.93,0.63,148.12
STX,58.28,58.4,16.497,1.58,26.15,2.2,56.68
SEE,42.8,43.06,7.064,0.73,10.22,4.29,49.92
SHW,380.39,387.59,36.369,1.31,19.51,20.01,444.86
SPG,183.85,182.57,65.817,0.63,23.5,7.87,197.11
SWKS,83.4,77.43,13.628,0.99,15.37,4.95,115.29
SNA,163.36,164.13,9.29,1.0,16.5,9.95,188.14
SO,48.6,48.42,48.638999999999996,-0.03,57.24,0.84,46.9
LUV,50.97,51.2,29.773000000000003,1.23,8.87,5.79,65.89
SBUX,56.48,56.51,77.57,0.5,18.44,3.05,63.88
STT,100.46,100.6,36.72,1.48,19.18,5.24,116.53
SRCL,53.75,53.63,4.6160000000000005,0.59,27.86,1.93,74.0
SYK,168.69,168.6,63.571000000000005,0.4,60.02,2.83,183.93
STI,70.53,70.66,32.705,1.42,15.74,4.47,75.44
SYMC,21.36,21.36,13.214,0.67,12.25,1.74,23.8
SNPS,119.36,117.73,17.796,1.35,31.08,3.83,124.36
SYY,67.96,68.18,35.709,0.47,28.44,2.41,66.08
TROW,117.14,119.71,29.238000000000003,1.11,19.46,6.2,119.08
TGT,78.02,78.22,41.169,0.56,14.49,5.33,76.47
TEL,75.14,74.35,25.714000000000002,1.5,10.32,7.27,96.71
TXT,69.32,69.23,17.631,1.4,60.19,1.14,71.17
CLX,131.76,131.01,17.188,0.3,21.68,6.12,127.0
HSY,91.22,91.55,19.272000000000002,0.1,19.48,4.728,96.16
TRV,129.56,128.73,34.496,1.27,17.46,7.38,139.06
DIS,104.33,103.2,158.056,1.18,15.16,7.01,119.08
TMO,205.57,206.64,82.83,1.32,36.61,5.62,246.13
TIF,136.02,136.13,16.855999999999998,1.7,40.38,3.36,130.45
TWX,96.22,99.96,76.628,0.82,14.76,6.64,104.43
TJX,94.73,94.63,59.119,0.35,21.72,4.35,95.41
TSS,96.17,96.27,17.007,1.03,30.53,3.14,104.13
TSCO,87.65,88.37,10.58,1.42,22.61,3.84,87.26
TDG,340.76,342.5,17.944000000000003,0.8,26.46,12.93,348.5
FOXA,40.54,43.71,80.75399999999999,1.23,20.18,2.16,40.4
FOX,43.41,44.05,81.945,1.22,20.41,2.16,45.0
TSN,70.99,70.85,26.166999999999998,0.11,9.44,7.54,80.0
USB,52.05,52.2,84.833,0.97,14.72,3.51,57.8
UDR,43.75,43.9,12.945,0.74,62.25,0.7,42.63
ULTA,247.52,247.7,14.84,0.83,25.67,9.61,268.17
UNP,150.25,150.51,108.875,1.06,9.71,15.22,166.69
UAL,70.47,70.76,19.874000000000002,1.12,9.74,7.36,84.87
UNH,250.68,250.84,244.483,0.76,23.73,10.72,277.35
URI,149.53,150.68,12.967,2.67,9.34,16.61,189.58
UTX,124.55,125.03,99.663,1.06,21.85,5.7,146.19
VFC,83.66,83.89,33.146,0.66,50.87,1.65,83.78
VLO,116.83,116.45,50.138000000000005,1.01,12.08,9.63,132.14
VAR,113.72,113.25,10.434000000000001,1.1,85.67,1.33,122.43
VRSN,142.27,142.15,17.871,0.75,39.45,3.68,118.75
VZ,48.81,48.45,195.852,0.72,6.22,7.63,55.68
VIAB,29.09,29.0,11.944,1.64,5.81,5.01,34.5
V,134.86,135.18,301.028,1.03,34.0,3.95,143.76
VNO,67.46,67.6,13.732999999999999,1.12,79.85,0.85,77.92
VMC,107.16,105.96,14.068,1.07,22.1,4.82,123.54
WMT,84.1,83.89,248.136,0.44,28.06,3.0,95.12
WBA,65.8,65.45,63.615,0.81,16.08,3.99,80.96
WM,83.59,83.74,36.082,0.68,18.92,4.41,94.22
WAT,249.41,249.41,17.737000000000002,1.28,32.77,7.65,223.92
WFC,54.48,54.25,264.938,1.25,13.49,4.03,60.87
WDC,80.89,81.26,23.844,0.8,118.93,0.67,116.07
WY,34.73,34.84,26.427,1.6,38.36,0.91,38.08
WHR,145.31,148.98,10.564,1.73,31.75,4.7,187.3
WYN,110.82,110.94,10.82,1.41,12.91,8.4,119.67
WYNN,178.12,179.44,19.692999999999998,1.93,24.91,7.28,213.25
XRX,27.98,28.04,7.187,1.15,39.63,0.71,40.2
XLNX,90.54,91.31,22.551,0.53,38.51,2.31,87.27
YUM,83.18,83.36,26.908,0.45,19.5,4.27,88.17
