Stock_Ticker,Previous_Close,Open,Market_Cap,Beta_3Y_Monthly),PE Ratio_TTM,EPS_TTM,Forward_Yeild,one_y_Target_Est
MMM,161.89,162.51,96.34899999999999,1.28,19.99,8.31,3.52,172.0
ABT,81.36,81.45,144.308,0.8,44.38,1.84,1.57,94.03
ABBV,76.8,76.39,113.148,0.71,27.94,2.74,5.57,87.8
ATVI,55.44,56.21,42.386,0.94,25.23,2.19,0.67,57.79
AES,16.88,16.82,11.152999999999999,0.74,28.0,0.6,3.23,18.5
A,75.0,74.7,23.331,1.28,22.55,3.34,0.87,83.33
APD,211.47,211.48,46.993,0.72,27.59,7.73,2.19,240.0
ALB,69.45,63.79,6.74,1.25,12.41,5.12,2.12,84.37
ARE,159.16,159.03,18.04,0.52,45.27,3.5,2.54,157.82
LNT,53.66,53.62,12.630999999999998,0.22,24.63,2.16,2.65,52.44
MO,46.96,46.68,87.427,0.37,13.97,3.35,7.16,52.68
AEE,77.49,77.58,18.826,0.23,23.72,3.23,2.56,80.78
AAL,29.41,29.4,13.741,1.98,8.56,3.61,1.36,36.76
AEP,95.72,95.69,46.59,0.13,21.89,4.31,2.93,96.38
AXP,116.41,116.36,96.76899999999999,0.99,14.28,8.28,1.48,132.21
AMT,223.47,223.19,95.917,-0.01,65.46,3.31,1.62,221.6
AWK,122.31,122.58,21.879,0.16,37.74,3.21,1.64,123.73
ABC,85.98,85.91,18.083,1.18,19.31,4.49,1.86,95.13
AME,89.12,89.25,20.541999999999998,1.33,25.27,3.56,0.63,97.57
AMGN,203.06,202.59,121.76899999999999,0.79,16.12,12.6,2.86,215.62
APH,101.79,101.68,29.813000000000002,1.12,26.29,3.81,0.98,107.18
ARNC,27.43,27.43,11.979000000000001,1.93,29.82,0.93,0.29,29.89
T,36.82,36.94,269.70099999999996,0.77,15.57,2.37,5.54,36.5
ADP,162.54,162.01,70.242,0.97,30.91,5.24,1.94,179.88
AVY,126.2,126.34,10.675999999999998,1.46,45.53,2.79,1.84,127.22
BLL,71.8,71.73,23.874000000000002,0.52,47.12,1.53,0.84,76.45
BAC,31.36,31.36,287.994,1.64,11.69,2.71,2.3,33.3
BBY,72.12,71.85,19.28,1.67,13.22,5.53,2.77,76.71
HRB,24.87,24.9,5.053999999999999,0.49,12.16,2.07,4.18,25.0
BMY,54.37,54.5,89.935,0.58,14.48,3.8,3.02,60.38
AVGO,282.31,283.26,114.963,0.84,40.79,7.11,3.75,320.68
CHRW,87.68,87.35,12.199000000000002,0.74,18.08,4.98,2.28,87.53
COG,18.46,18.51,7.87,0.49,9.88,1.9,1.95,22.42
CPB,47.08,47.18,13.993,0.78,66.47,0.7,2.97,42.77
COF,91.98,91.5,43.858999999999995,1.33,8.27,11.28,1.74,105.47
CAT,133.85,135.0,78.611,1.54,13.29,10.52,3.08,140.21
CBS,35.75,35.67,13.588,1.02,4.43,8.13,2.01,51.39
CERN,67.48,67.5,21.151,0.83,42.61,1.56,1.07,75.79
CVX,117.58,117.77,225.285,0.84,15.37,7.72,4.05,137.46
CHD,75.75,75.76,18.505,0.03,31.2,2.4,1.2,76.83
CINF,115.27,116.0,18.236,0.55,20.02,5.58,1.94,105.63
CFG,35.58,35.42,15.914000000000001,1.65,9.48,3.78,4.0,40.77
CTXS,107.77,108.12,13.828,0.71,22.86,4.62,1.3,110.29
CME,203.25,203.52,71.78399999999999,-0.13,39.09,5.13,1.48,217.06
KO,54.61,54.55,230.265,0.3,29.68,1.81,2.93,58.35
